DateTime,Volume (cu.m),Flow (m3/s)
2004/12/1 0:00,432,0.12
2004/12/1 1:00,432,0.12
2004/12/1 2:00,432,0.12
2004/12/1 3:00,432,0.12
2004/12/1 4:00,432,0.12
2004/12/1 5:00,432,0.12
2004/12/1 6:00,432,0.12
2004/12/1 7:00,432,0.12
2004/12/1 8:00,432,0.12
2004/12/1 9:00,432,0.12
2004/12/1 10:00,432,0.12
2004/12/1 11:00,432,0.12
2004/12/1 12:00,432,0.12
2004/12/1 13:00,432,0.12
2004/12/1 14:00,432,0.12
2004/12/1 15:00,432,0.12
2004/12/1 16:00,432,0.12
2004/12/1 17:00,432,0.12
2004/12/1 18:00,432,0.12
2004/12/1 19:00,432,0.12
2004/12/1 20:00,432,0.12
2004/12/1 21:00,432,0.12
2004/12/1 22:00,432,0.12
2004/12/1 23:00,432,0.12
2004/12/2 0:00,432,0.12
2004/12/2 1:00,432,0.12
2004/12/2 2:00,432,0.12
2004/12/2 3:00,432,0.12
2004/12/2 4:00,432,0.12
2004/12/2 5:00,432,0.12
2004/12/2 6:00,432,0.12
2004/12/2 7:00,432,0.12
2004/12/2 8:00,432,0.12
2004/12/2 9:00,432,0.12
2004/12/2 10:00,432,0.12
2004/12/2 11:00,432,0.12
2004/12/2 12:00,432,0.12
2004/12/2 13:00,432,0.12
2004/12/2 14:00,432,0.12
2004/12/2 15:00,432,0.12
2004/12/2 16:00,432,0.12
2004/12/2 17:00,432,0.12
2004/12/2 18:00,432,0.12
2004/12/2 19:00,432,0.12
2004/12/2 20:00,432,0.12
2004/12/2 21:00,432,0.12
2004/12/2 22:00,432,0.12
2004/12/2 23:00,432,0.12
2004/12/3 0:00,432,0.12
2004/12/3 1:00,432,0.12
2004/12/3 2:00,432,0.12
2004/12/3 3:00,432,0.12
2004/12/3 4:00,432,0.12
2004/12/3 5:00,432,0.12
2004/12/3 6:00,432,0.12
2004/12/3 7:00,432,0.12
2004/12/3 8:00,432,0.12
2004/12/3 9:00,432,0.12
2004/12/3 10:00,432,0.12
2004/12/3 11:00,432,0.12
2004/12/3 12:00,432,0.12
2004/12/3 13:00,432,0.12
2004/12/3 14:00,432,0.12
2004/12/3 15:00,432,0.12
2004/12/3 16:00,432,0.12
2004/12/3 17:00,432,0.12
2004/12/3 18:00,432,0.12
2004/12/3 19:00,432,0.12
2004/12/3 20:00,432,0.12
2004/12/3 21:00,432,0.12
2004/12/3 22:00,432,0.12
2004/12/3 23:00,432,0.12
2004/12/4 0:00,432,0.12
2004/12/4 1:00,432,0.12
2004/12/4 2:00,432,0.12
2004/12/4 3:00,432,0.12
2004/12/4 4:00,432,0.12
2004/12/4 5:00,432,0.12
2004/12/4 6:00,432,0.12
2004/12/4 7:00,432,0.12
2004/12/4 8:00,432,0.12
2004/12/4 9:00,432,0.12
2004/12/4 10:00,432,0.12
2004/12/4 11:00,432,0.12
2004/12/4 12:00,432,0.12
2004/12/4 13:00,432,0.12
2004/12/4 14:00,432,0.12
2004/12/4 15:00,432,0.12
2004/12/4 16:00,432,0.12
2004/12/4 17:00,432,0.12
2004/12/4 18:00,432,0.12
2004/12/4 19:00,432,0.12
2004/12/4 20:00,432,0.12
2004/12/4 21:00,432,0.12
2004/12/4 22:00,432,0.12
2004/12/4 23:00,432,0.12
2004/12/5 0:00,432,0.12
2004/12/5 1:00,432,0.12
2004/12/5 2:00,432,0.12
2004/12/5 3:00,432,0.12
2004/12/5 4:00,432,0.12
2004/12/5 5:00,432,0.12
2004/12/5 6:00,432,0.12
2004/12/5 7:00,432,0.12
2004/12/5 8:00,432,0.12
2004/12/5 9:00,432,0.12
2004/12/5 10:00,432,0.12
2004/12/5 11:00,432,0.12
2004/12/5 12:00,432,0.12
2004/12/5 13:00,432,0.12
2004/12/5 14:00,432,0.12
2004/12/5 15:00,432,0.12
2004/12/5 16:00,432,0.12
2004/12/5 17:00,432,0.12
