Time,riverflow,CSOspills
2006/1/1 0:00,7.979,0.013
2006/1/1 0:15,7.816,0.004
2006/1/1 0:45,7.544,0.007
2006/1/1 1:15,7.283,0.004
2006/1/1 2:00,6.963,0.003
2006/1/1 2:30,6.773,0.004
2006/1/1 3:15,6.499,0.002
2006/1/1 3:45,6.348,0.002
2006/1/1 4:00,6.23,0.001
2006/1/1 4:30,6.054,0.002
2006/1/1 5:15,5.824,0.002
2006/1/1 5:45,5.656,0.002
2006/1/1 6:30,5.489,0.004
2006/1/1 7:00,5.354,0.003
2006/1/1 7:15,5.3,0.003
2006/1/1 7:45,5.189,0.008
2006/1/1 8:15,5.063,0.003
2006/1/1 8:30,5,0.015
2006/1/1 9:00,4.919,0.019
2006/1/1 9:15,4.845,0.016
2006/1/1 9:45,4.744,0.017
2006/1/1 10:00,4.696,0.015
2006/1/1 10:15,4.648,0.014
2006/1/1 10:30,4.609,0.003
2006/1/1 10:45,4.59,0.023
2006/1/1 11:00,4.555,0.009
2006/1/1 11:15,4.512,0.003
2006/1/1 11:30,4.476,0.015
2006/1/1 12:00,4.414,0.005
2006/1/1 12:15,4.408,0.011
2006/1/1 12:30,4.362,0.01
2006/1/1 12:45,4.368,0.004
2006/1/1 13:00,4.291,0.01
2006/1/1 13:30,4.229,0.002
2006/1/1 13:45,4.197,0.011
2006/1/1 14:15,4.176,0.009
2006/1/1 14:30,4.107,0.009
2006/1/1 14:45,4.114,0.002
2006/1/1 15:00,4.084,0.009
2006/1/1 15:30,4.046,0.002
2006/1/1 15:45,3.99,0.013
2006/1/1 16:00,3.979,0.002
2006/1/1 16:15,3.928,0.008
2006/1/1 16:45,3.89,0.002
2006/1/1 17:00,3.859,0.011
2006/1/1 17:30,3.796,0.008
2006/1/1 18:00,3.759,0.002
2006/1/1 18:15,3.747,0.014
2006/1/1 18:45,3.687,0.01
2006/1/1 19:00,3.668,0.008
2006/1/1 19:15,3.651,0.003
2006/1/1 19:30,3.617,0.016
2006/1/1 20:00,3.58,0.011
2006/1/1 20:15,3.53,0.019
2006/1/1 20:45,3.517,0.012
2006/1/1 21:00,3.481,0.006
2006/1/1 21:15,3.464,0.003
2006/1/1 21:30,3.431,0.015
2006/1/1 22:00,3.424,0.002
2006/1/1 22:15,3.293,0.113
2006/1/1 22:30,3.253,0.112
2006/1/1 22:45,3.216,0.109
2006/1/1 23:00,3.225,0.08
2006/1/1 23:15,3.245,0.06
2006/1/1 23:30,3.221,0.045
2006/1/1 23:45,3.188,0.058
2006/1/2 0:00,3.157,0.069
2006/1/2 0:15,3.158,0.049
2006/1/2 0:30,3.163,0.024
2006/1/2 0:45,3.136,0.013
2006/1/2 1:00,3.12,0.009
2006/1/2 1:15,3.098,0.012
2006/1/2 1:30,3.084,0.007
2006/1/2 1:45,3.058,0.014
2006/1/2 2:00,3.048,0.005
2006/1/2 2:15,3.008,0.007
2006/1/2 2:30,3.011,0.004
2006/1/2 3:00,2.955,0.004
2006/1/2 3:45,2.884,0.002
2006/1/2 4:15,2.847,0.002
2006/1/2 4:30,2.829,0.002
2006/1/2 5:00,2.793,0.002
2006/1/2 5:30,2.758,0.002
2006/1/2 5:45,2.731,0.011
2006/1/2 6:15,2.695,0.012
2006/1/2 6:30,2.7,0.007
2006/1/2 6:45,2.68,0.009
2006/1/2 7:00,2.647,0.025
2006/1/2 7:15,2.651,0.003
2006/1/2 7:30,2.616,0.021
2006/1/2 7:45,2.629,0.008
2006/1/2 8:00,2.615,0.005
2006/1/2 8:15,2.6,0.02
2006/1/2 8:30,2.618,0.002
2006/1/2 8:45,2.607,0.013
2006/1/2 9:00,2.584,0.019
2006/1/2 9:15,2.575,0.011
2006/1/2 9:30,2.544,0.024
2006/1/2 9:45,2.521,0.047
2006/1/2 10:00,2.516,0.036
2006/1/2 10:15,2.533,0.019
2006/1/2 10:30,2.54,0.012
2006/1/2 10:45,2.534,0.018
2006/1/2 11:00,2.535,0.017
2006/1/2 11:15,2.546,0.022
2006/1/2 11:30,2.564,0.004
2006/1/2 11:45,2.565,0.003
2006/1/2 12:00,2.556,0.012
2006/1/2 12:15,2.541,0.027
2006/1/2 12:30,2.547,0.005
2006/1/2 12:45,2.538,0.03
2006/1/2 13:00,2.539,0.013
2006/1/2 13:15,2.555,0.013
2006/1/2 13:30,2.549,0.019
2006/1/2 14:00,2.536,0.016
2006/1/2 14:15,2.541,0.011
2006/1/2 14:45,2.503,0.032
2006/1/2 15:00,2.515,0.037
2006/1/2 15:15,2.483,0.035
2006/1/2 15:30,2.52,0.015
2006/1/2 15:45,2.508,0.01
2006/1/2 16:00,2.521,0.014
2006/1/2 16:15,2.524,0.011
2006/1/2 16:30,2.485,0.016
2006/1/2 16:45,2.499,0.002
2006/1/2 17:00,2.453,0.015
2006/1/2 17:15,2.462,0.006
2006/1/2 17:30,2.465,0.003
2006/1/2 17:45,2.448,0.02
2006/1/2 18:15,2.448,0.003
2006/1/2 18:30,2.427,0.024
2006/1/2 18:45,2.402,0.049
2006/1/2 19:00,2.383,0.052
2006/1/2 19:15,2.412,0.039
2006/1/2 19:30,2.397,0.021
2006/1/2 19:45,2.416,0.019
2006/1/2 20:00,2.404,0.014
2006/1/2 20:15,2.384,0.018
2006/1/2 20:30,2.397,0.038
2006/1/2 20:45,2.335,0.067
2006/1/2 21:00,2.366,0.036
2006/1/2 21:15,2.387,0.015
2006/1/2 21:30,2.369,0.017
2006/1/2 21:45,2.403,0.015
2006/1/2 22:00,2.388,0.014
2006/1/2 22:15,2.418,0.017
2006/1/2 22:30,2.456,0.012
2006/1/2 22:45,2.502,0.016
2006/1/2 23:00,2.556,0.012
2006/1/2 23:30,2.693,0.014
2006/1/2 23:45,2.739,0.003
2006/1/3 0:00,2.811,0.002
2006/1/3 0:15,2.932,0.009
2006/1/3 0:45,3.182,0.005
2006/1/3 1:00,3.294,0.011
2006/1/3 1:30,3.541,0.029
2006/1/3 1:45,3.711,0.029
2006/1/3 2:00,3.891,0.023
2006/1/3 2:15,4.3,0.001
2006/1/3 2:30,4.602,0.01
2006/1/3 2:45,4.908,0.004
2006/1/3 3:00,5.188,0.009
2006/1/3 3:30,5.877,0.006
2006/1/3 4:00,6.651,0.003
2006/1/3 4:15,7.016,0.013
2006/1/3 4:45,7.448,0.003
2006/1/3 5:15,7.548,0.003
2006/1/3 5:30,7.537,0.014
2006/1/3 6:00,7.501,0.016
2006/1/3 6:30,7.443,0.008
2006/1/3 6:45,7.306,0.014
2006/1/3 7:15,7.101,0.024
2006/1/3 7:30,7.016,0.013
2006/1/3 7:45,6.93,0.004
2006/1/3 8:00,6.793,0.016
2006/1/3 8:15,6.674,0.01
2006/1/3 8:30,6.618,0.005
2006/1/3 8:45,6.488,0.013
2006/1/3 9:00,6.393,0.017
2006/1/3 9:30,6.161,0.012
2006/1/3 9:45,6.068,0.017
2006/1/3 10:15,5.924,0.016
2006/1/3 10:30,5.815,0.011
2006/1/3 11:00,5.67,0.016
2006/1/3 11:15,5.537,0.01
2006/1/3 11:45,5.461,0.004
2006/1/3 12:00,5.375,0.009
2006/1/3 12:30,5.242,0.008
2006/1/3 12:45,5.163,0.008
2006/1/3 13:00,5.116,0.002
2006/1/3 13:15,5.057,0.009
2006/1/3 13:45,4.96,0.003
2006/1/3 14:00,4.878,0.009
2006/1/3 14:30,4.778,0.008
2006/1/3 14:45,4.728,0.008
2006/1/3 15:00,4.684,0.002
2006/1/3 15:15,4.604,0.008
2006/1/3 15:45,4.562,0.002
2006/1/3 16:00,4.479,0.012
2006/1/3 16:30,4.387,0.008
2006/1/3 17:00,4.321,0.003
2006/1/3 17:15,4.241,0.013
2006/1/3 17:45,4.175,0.01
2006/1/3 18:00,4.156,0.006
2006/1/3 18:15,4.113,0.003
2006/1/3 18:30,4.079,0.014
2006/1/3 19:00,3.992,0.011
