riverflow,CSOspills,cso15,cso18
2.5555,1.3845,0,1.3845
1.006,0.3,0,0.3
1.1785,9.5154,2.7834,6.732
1.2625,29.6859,21.6945,7.9914
2.28425,331.83195,207.95565,123.8763
2.37925,62.80215,61.20255,1.5996
2.5725,1.39695,0,1.39695
3.5735,29.93565,20.5683,9.36735
2.093,85.9134,42.8232,43.0902
2.1795,317.9859,170.38275,147.60315
2.2685,322.7277,185.65065,137.07705
2.5195,116.52405,66.9897,49.53435
3.0845,14.66805,0,14.66805
1.7005,0.5676,0,0.5676
0.50025,11.4969,2.89425,8.60265
0.5595,127.6149,64.58205,63.03285
0.67825,0.3,0,0.3
0.776,34.1316,18.5772,15.5544
0.461,1.5939,0,1.5939
0.49075,290.71515,172.6698,118.04535
0.60625,62.02785,60.3648,1.66305
0.532,1.173,0,1.173
0.5595,44.9208,37.2363,7.6845
0.58125,43.776,21.08565,22.69035
0.61525,711.1119,472.8816,238.2303
0.74475,234.7527,116.89695,117.85575
0.78725,316.5039,207.9171,108.5868
0.7845,4.994475,0.15465,4.839825
0.85275,0.15165,0,0.15165
0.588,1.7184,0,1.7184
0.60075,844.3527,515.65665,328.69605
0.694,2.4978,2.32575,0.17205
0.325,89.53065,62.23665,27.294
0.331,13.17675,13.17675,0
0.373,1.0551,0,1.0551
0.384,0.6,0,0.6
0.46625,0.15,0,0.15
0.505,0.15,0,0.15
0.383,68.7489,55.8231,12.9258
0.58075,0.62565,0,0.62565
0.68,17.57445,15.0333,2.54115
0.47975,0.6,0,0.6
0.46725,58.752,33.6789,25.0731
0.486,314.6616,191.0181,123.6435
0.41875,5.4996,0,5.4996
0.42,632.52165,364.93905,267.5826
0.75525,124.6704,103.67895,20.99145
0.94325,438.64125,237.3018,201.33945
1.1445,206.7948,96.1332,110.6616
0.977,201.39645,130.1259,71.27055
1.182,6.09495,0,6.09495
1.2855,14.57415,0,14.57415
1.22875,120.43305,44.9979,75.43515
0.3995,0.8412,0,0.8412
0.395,0.8505,0,0.8505
0.4365,3.8394,0,3.8394
0.508,135.35055,93.4626,41.88795
0.60075,34.89225,0,34.89225
0.64125,31.5441,10.3668,21.1773
0.7005,0.465,0,0.465
0.686,5.85555,0,5.85555
0.718,76.1988,4.5252,71.6736
0.726,0.34065,0,0.34065
0.82825,374.38185,216.7716,157.61025
0.977,761.199,465.1287,296.0703
1.1555,863.92935,537.39675,326.5326
1.3765,1080.5577,657.84045,422.71725
1.7695,949.00665,604.85175,344.1549
2.451,33.41625,15.87225,17.544
3.023,29.0754,3.9726,25.1028
3.41375,506.2104,338.9598,167.2506
3.01325,131.1969,67.7439,63.453
2.93175,141.36375,72.3603,69.00345
2.96975,14.8209,4.47135,10.34955
3.169,3.65565,2.31855,1.3371
0.41875,279.3318,152.2746,127.0572
0.46725,245.7939,200.646,45.1479
0.4735,13.591875,8.856,4.735875
0.51175,9.502725,7.57425,1.928475
1.722,541.4313,312.18405,229.24725
1.86925,608.92455,415.44135,193.4832
2.14,147.04605,69.282,77.76405
5.42475,0.8394,0,0.8394
0.74025,1.0005,0,1.0005
1.935,1.4691,0,1.4691
2.7505,16.72245,0,16.72245
2.66,22.33425,0,22.33425
2.5715,2.826,0,2.826
1.714,8.18265,4.6569,3.52575
1.735,0.7941,0.7941,0
3.07125,0.3,0,0.3
1.1585,3.1662,0,3.1662
1.2435,1.68465,0,1.68465
1.408,479.96295,292.1142,187.84875
1.59775,27.3597,12.7539,14.6058
1.59375,0.3717,0,0.3717
3.01825,139.9446,93.6828,46.2618
4.28225,92.24985,55.3308,36.91905
4.3425,15.93825,14.6037,1.33455
4.756,0.849,0,0.849
4.49975,0.1536,0,0.1536
4.30025,102.2901,66.1431,36.147
4.2585,225.9315,128.86455,97.06695
4.324,243.9075,174.49485,69.41265
4.28225,0.15,0,0.15
4.118,253.5639,138.29475,115.26915
4.14125,94.55475,37.22025,57.3345
4.118,0.19755,0,0.19755
2.99875,0.2454,0,0.2454
3.1495,2.6349,0,2.6349
3.4195,64.9704,37.3812,27.5892
2.687,1.8285,0,1.8285
2.687,111.3015,92.0265,19.275
2.687,28.93365,16.47255,12.4611
2.7005,36.00615,14.83005,21.1761
1.756,6.6351,0,6.6351
1.855,53.74005,0,53.74005
1.987,29.25135,0,29.25135
2.16375,8.82555,0,8.82555
2.3335,48.86145,0.9726,47.88885
2.5025,49.2108,11.574,37.6368
2.71875,2.8341,0,2.8341
8.04825,539.3118,360.3792,178.9326
8.105,124.79565,51.918,72.87765
8.5975,719.10615,481.5141,237.59205
3.39325,823.60035,465.02535,358.575
4.2365,861.85905,551.51475,310.3443
0.436,7.78575,1.4265,6.35925
0.5235,154.6836,89.4012,65.2824
0.701,42.5199,16.55325,25.96665
0.81375,109.476,53.13855,56.33745
0.67025,405.7089,235.7751,169.9338
0.74875,154.563,116.6022,37.9608
1.91,35.9937,25.4898,10.5039
2.2135,1.9191,0,1.9191
0.5665,63.5667,42.61995,20.94675
0.588,49.6671,33.4026,16.2645
0.66225,74.1531,58.3053,15.8478
0.6225,7.8651,4.4532,3.4119
2.03225,138.2418,105.0537,33.1881
1.5805,11.535,2.8317,8.7033
1.732,165.11865,68.1627,96.95595
1.91125,459.3375,254.80725,204.53025
2.46725,548.57715,367.18095,181.3962
4.527,3.4185,0,3.4185
1.38,0.3,0,0.3
1.48525,284.13075,151.94535,132.1854
1.64825,676.44735,418.35375,258.0936
2.289,232.776,153.2898,79.4862
1.285,0.3027,0,0.3027
1.35,12.3609,0,12.3609
2.84,459.546,272.95095,186.59505
3.45175,126.7749,108.28155,18.49335
2.994,0.5214,0,0.5214
3.052,200.7891,148.5726,52.2165
0.628,305.2443,205.7337,99.5106
0.718,557.3547,346.3263,211.0284
0.718,49.8258,49.8258,0
0.71625,3.6714,1.7976,1.8738
0.702,356.12535,201.0102,155.11515
0.75325,676.98975,467.8335,209.15625
3.0215,0.489,0,0.489
3.2595,0.921,0,0.921
2.1245,0.1707,0,0.1707
2.30275,14.7615,10.8984,3.8631
2.2075,13.44975,10.15755,3.2922
2.43925,1.84125,1.84125,0
3.27525,687.7842,426.3036,261.4806
3.01325,287.0967,151.52595,135.57075
3.75675,727.119,488.70525,238.41375
5.3,214.52235,149.3388,65.18355
0.395,75.5031,60.2349,15.2682
0.608,124.6851,78.9054,45.7797
0.639,0.9666,0,0.9666
0.413,4.51875,0,4.51875
0.47875,74.10585,58.845,15.26085
0.56725,48.009,22.5831,25.4259
0.832,325.27485,167.51085,157.764
1.74425,1026.39795,624.3837,402.01425
6.494,256.6635,194.38395,62.27955
3.84375,26.2368,7.75035,18.48645
3.84375,315.38115,213.94215,101.439
3.777,12.97545,0,12.97545
3.75525,5.8656,0,5.8656
4.741,481.3089,315.2178,166.0911
3.75525,67.8393,54.4722,13.3671
1.4995,26.8377,22.1493,4.6884
1.7385,821.0103,488.7852,332.2251
1.91075,114.6969,96.5538,18.1431
2.093,9.1845,0,9.1845
2.16425,284.42025,193.8192,90.60105
2.28425,145.28685,77.7552,67.53165
3.534,194.412,136.9104,57.5016
4.207,591.96825,357.084,234.88425
9.20375,110.62905,97.2285,13.40055
3.09075,31.3587,26.3922,4.9665
1.8405,9.04995,0,9.04995
1.784,253.90905,185.6673,68.24175
1.5445,3.3729,0,3.3729
0.588,3.408,0,3.408
0.62075,48.8961,37.644,11.2521
0.46725,3.2595,1.5888,1.6707
0.4955,0.6657,0,0.6657
0.52725,4.842,0,4.842
0.6025,111.6987,54.6747,57.024
0.6705,1.9269,0,1.9269
1.15375,0.32205,0,0.32205
2.66925,1.74285,0,1.74285
0.9005,0.083925,0,0.083925
0.9005,60.192375,34.3011,25.891275
1.02925,18.45945,6.3135,12.14595
1.0985,13.75815,0,13.75815
1.491,474.0888,300.9222,173.1666
1.63775,22.4508,20.9508,1.5
3.73275,506.1567,281.5899,224.5668
5.592,575.067,365.5449,209.5221
7.3505,85.7382,48.3516,37.3866
10.5255,1.0821,0,1.0821
11.88625,717.3525,422.15685,295.19565
13.9615,291.5604,178.158,113.4024
18.79225,744.0318,481.2069,262.8249
21.6605,221.2434,92.90595,128.33745
21.898,76.11885,15.5556,60.56325
19.62025,42.15045,11.6649,30.48555
1.24,267.44175,171.2199,96.22185
1.327,326.35035,229.7958,96.55455
2.301,4.61115,0,4.61115
2.67075,588.33495,363.83235,224.5026
3.34525,40.8741,22.48335,18.39075
5.60575,680.4885,418.4916,261.9969
8.6015,19.0848,1.0968,17.988
1.0215,0.15,0,0.15
1.04975,0.15,0,0.15
1.15125,143.32635,67.8747,75.45165
1.16775,276.69375,171.5172,105.17655
1.33,4.37535,0,4.37535
1.586,69.99585,34.6932,35.30265
3.6465,2.97015,0,2.97015
3.518,623.1672,390.92025,232.24695
3.55,719.3907,460.7697,258.621
3.86325,416.67165,249.78735,166.8843
5.94925,4.917,4.0716,0.8454
6.75,1.0749,0,1.0749
4.36625,552.21135,359.95845,192.2529
4.36625,46.97565,45.37875,1.5969
1.47775,0.3,0,0.3
1.71475,849.4107,487.35825,362.05245
2.14525,416.2704,290.28255,125.98785
8.1635,43.74495,21.3051,22.43985
8.73425,5.88165,0,5.88165
1.64675,0.3,0,0.3
3.3105,26.9565,0,26.9565
3.09125,366.6807,265.0617,101.619
2.07825,0.6402,0,0.6402
2.017,16.6092,10.8963,5.7129
2.14025,6.8556,0,6.8556
2.301,149.1759,118.6554,30.5205
2.5715,2.7021,0,2.7021
1.30575,22.4808,16.6974,5.7834
2.36475,670.5249,430.47075,240.05415
2.78375,51.576,47.27235,4.30365
2.1845,2.0466,0,2.0466
4.025,17.93415,2.2593,15.67485
4.25375,740.8998,440.43795,300.46185
5.19125,783.9984,515.5323,268.4661
7.93475,103.26345,33.14685,70.1166
12.78175,285.30525,129.5871,155.71815
15.78025,51.7152,24.1032,27.612
16.54325,47.6376,1.2006,46.437
15.323,117.64995,49.1103,68.53965
14.022,858.1578,544.53465,313.62315
14.3665,276.1827,193.16895,83.01375
6.95375,0.6,0,0.6
6.822,54.4041,30.0174,24.3867
8.96,93.34305,60.69435,32.6487
10.0675,14.90445,14.00805,0.8964
3.27475,0.93705,0,0.93705
3.39275,179.10495,132.4017,46.70325
3.476,14.859,0.7599,14.0991
3.6465,2.2164,0,2.2164
3.87775,260.62455,157.48245,103.1421
3.89475,132.54225,63.74145,68.8008
3.7775,7.84545,0.47775,7.3677
3.95675,54.90405,38.13165,16.7724
2.7005,66.6279,49.3746,17.2533
2.8425,4.2351,0,4.2351
1.7245,2.3496,0,2.3496
1.86925,6.5973,0.3171,6.2802
1.9955,308.4345,178.7172,129.7173
4.595,3.9138,0,3.9138
6.98275,271.8666,147.2298,124.6368
2.8985,0.8493,0,0.8493
3.01325,18.4314,2.91405,15.51735
3.0325,656.7177,403.2099,253.5078
3.0905,286.41885,151.2225,135.19635
3.22425,7.19925,1.01895,6.1803
2.1795,2.2941,0,2.2941
2.156,18.6345,13.2795,5.355
0.82675,0.6174,0,0.6174
0.837,0.59025,0,0.59025
0.887,23.67405,8.574,15.10005
4.3055,0.6087,0,0.6087
1.51725,149.64855,74.5419,75.10665
2.36925,478.2672,276.6927,201.5745
5.70325,403.0065,226.0824,176.9241
10.51575,549.76095,312.60615,237.1548
13.173,586.8747,350.19495,236.67975
14.788,795.08415,505.41705,289.6671
15.6765,386.226,215.84385,170.38215
15.61,19.92525,7.7745,12.15075
0.67,189.8421,127.791,62.0511
0.83575,1.2717,0,1.2717
0.82825,1.8804,0,1.8804
0.66225,159.6825,109.14,50.5425
0.639,111.9093,80.2176,31.6917
0.702,0.3,0,0.3
0.639,324.674325,180.69285,143.981475
0.83,243.659625,167.2059,76.453725
0.35725,262.6677,166.6818,95.9859
0.505,8.94675,1.47315,7.4736
0.51175,169.90515,125.30025,44.6049
0.4365,2.5521,0,2.5521
0.686,42.4242,34.4631,7.9611
0.7385,0.60495,0,0.60495
0.82825,1.19235,0,1.19235
0.58675,24.603,19.4229,5.1801
0.588,24.3423,13.50285,10.83945
0.58075,48.7572,37.16505,11.59215
0.18725,249.14655,139.21095,109.9356
0.241,324.80655,251.63235,73.1742
0.21425,12.83715,5.1423,7.69485
0.241,45.40515,36.8409,8.56425
0.23775,29.202,22.2531,6.9489
0.2555,9.2847,9.2847,0
0.254,21.020475,7.9113,13.109175
0.292,0.363825,0,0.363825
