Time,Sum of Spill Rate (m3/s)
1998/5/5 2:00,1.447
1998/5/19 9:00,0.314
1998/5/26 14:00,1.047
1998/5/28 0:00,2.429
1998/5/29 0:00,1.069
1998/5/29 19:00,0.156
1998/5/31 7:00,0.938
1998/6/5 19:00,1.3
1998/6/7 6:00,1.665
1998/6/10 11:00,0.818
1998/6/14 11:00,1.61
1998/6/16 17:00,0.18
1998/6/18 3:00,3.535
1998/6/21 18:00,0.085
1998/6/22 20:00,14.284
1998/6/26 7:00,2.151
1998/7/8 3:00,0.716
1998/7/10 20:00,1.416
1998/7/14 7:00,0.127
1998/7/15 23:00,1.153
1998/7/17 11:00,0.964
1998/7/20 12:00,9.597
1998/7/24 23:00,0.57
1998/7/26 11:00,0.486
1998/7/28 0:00,1.07
1998/7/31 15:00,0.292
1998/8/2 1:00,5.644
1998/8/3 20:00,0.423
1998/8/6 8:00,6.768
1998/8/8 21:00,0.135
1998/8/11 19:00,0.468
1998/8/12 17:00,0.702
1998/8/13 14:00,5.54
1998/8/19 2:00,2.975
1998/8/23 15:00,1.075
1998/8/25 1:00,0.485
1998/8/31 7:00,1.919
1998/9/2 13:00,0.377
1998/9/5 12:00,0.086
1998/9/7 11:00,1.026
1998/9/9 17:00,1.699
1998/9/17 0:00,0.304
1998/9/26 6:00,1.431
1998/9/30 10:00,0.072
1999/5/6 0:00,3.827
1999/5/8 1:00,6.214
1999/5/13 8:00,1.192
1999/5/20 0:00,1.36
1999/5/22 19:00,3.95
1999/5/24 0:00,0.125
1999/5/25 6:00,0.799
1999/5/26 12:00,0.008
1999/5/27 11:00,2.026
1999/6/2 1:00,1.584
1999/6/4 1:00,0.226
1999/6/5 17:00,0.053
1999/6/6 20:00,1.583
1999/6/11 6:00,0.07
1999/6/12 14:00,2.953
1999/6/16 4:00,0.19
1999/6/18 21:00,2.67
1999/6/22 0:00,1.381
1999/6/26 1:00,3.693
1999/6/29 1:00,0.106
1999/7/1 15:00,2.432
1999/7/7 0:00,2.348
1999/7/10 3:00,0.537
1999/7/13 3:00,0.451
1999/7/15 1:00,0.149
1999/7/17 20:00,1.746
1999/8/1 0:00,0.76
1999/8/3 10:00,0.075
1999/8/5 1:00,5.184
1999/8/12 0:00,1.16
1999/8/13 9:00,1.631
1999/8/17 20:00,2.305
1999/8/24 15:00,0.135
1999/8/25 8:00,0.593
1999/8/26 20:00,0.004
1999/8/29 0:00,1.618
1999/9/3 19:00,0.353
1999/9/5 18:00,0.529
1999/9/6 14:00,3.695
1999/9/7 18:00,2.498
1999/9/10 8:00,0.022
1999/9/11 18:00,2.067
1999/9/15 0:00,1.068
1999/9/15 17:00,5.533
1999/9/19 0:00,1.239
1999/9/22 0:00,2.661
1999/9/28 0:00,1.723
2000/5/14 3:00,3.433
2000/5/17 7:00,0.106
2000/5/18 3:00,0.394
2000/5/19 16:00,0.668
2000/5/22 20:00,0.708
2000/5/24 17:00,0.026
2000/5/26 20:00,0.779
2000/5/28 0:00,0.042
2000/5/29 22:00,0.048
2000/5/31 19:00,2.854
2000/6/3 3:00,0.593
2000/6/4 21:00,0.97
2000/6/6 14:00,1.869
2000/6/20 4:00,0.296
2000/6/21 18:00,0.461
2000/6/24 2:00,1.513
2000/7/7 22:00,3.659
2000/7/25 19:00,0.053
2000/7/29 4:00,0.564
2000/7/31 0:00,1.844
2000/8/1 11:00,1.81
2000/8/8 5:00,1.707
2000/8/12 15:00,1.261
2000/8/15 2:00,0.824
2000/8/18 5:00,0.539
2000/8/25 0:00,0.86
2000/8/29 13:00,0.003
2000/8/30 20:00,2.299
2000/9/4 7:00,0.015
2000/9/5 12:00,2.589
2000/9/7 21:00,0.561
2000/9/8 14:00,0.18
2000/9/10 7:00,1.879
2000/9/12 19:00,0.295
2000/9/17 13:00,2.361
2000/9/19 9:00,3.91
2000/9/22 18:00,3.971
2001/5/15 18:00,4.371
2001/5/25 3:00,0.136
2001/5/28 15:00,1.304
2001/5/29 23:00,0.892
2001/6/1 14:00,0.043
2001/6/8 3:00,0.296
2001/6/14 16:00,2.645
2001/6/18 11:00,2.22
2001/6/25 18:00,2.578
2001/6/29 5:00,0.352
2001/7/2 1:00,1.475
2001/7/5 23:00,2.347
2001/7/9 11:00,0.28
2001/7/10 7:00,2.2
2001/7/14 5:00,0.65
2001/7/19 2:00,0.273
2001/7/20 1:00,0.229
2001/7/21 4:00,0.034
2001/7/23 0:00,0.912
2001/7/24 6:00,0.023
2001/7/25 13:00,0.037
2001/7/30 20:00,4.817
2001/8/1 0:00,0.454
2001/8/6 18:00,1.831
2001/8/8 20:00,0.069
2001/8/10 4:00,0.042
2001/8/11 6:00,5.379
2001/8/14 10:00,2.215
2001/8/15 14:00,3.256
2001/8/18 0:00,0.068
2001/8/19 2:00,2.49
2001/8/21 22:00,0.165
2001/8/29 0:00,0.415
2001/9/1 3:00,1.736
2001/9/7 4:00,0.08
2001/9/11 2:00,0.159
2001/9/12 4:00,3.415
2001/9/27 1:00,3.698
2002/5/1 17:00,1.926
2002/5/7 6:00,1.478
2002/5/9 8:00,1.106
2002/5/12 3:00,0.095
2002/5/13 2:00,0.395
2002/5/17 6:00,0.181
2002/5/18 8:00,0.722
2002/5/20 10:00,1.342
2002/5/22 10:00,4.336
2002/5/27 6:00,0.846
2002/5/29 15:00,0.581
2002/6/1 10:00,0.042
2002/6/2 4:00,0.373
2002/6/3 23:00,0.588
2002/6/7 0:00,0.765
2002/6/9 1:00,0.485
2002/6/11 17:00,7.534
2002/6/16 11:00,2.377
2002/6/18 16:00,2.818
2002/6/25 1:00,0.05
2002/6/28 9:00,0.065
2002/6/30 0:00,1.339
2002/7/1 16:00,6.574
2002/7/5 1:00,0.143
2002/7/6 1:00,1.483
2002/7/9 12:00,2.829
2002/7/10 23:00,0.134
2002/7/11 21:00,0.043
2002/7/19 16:00,1.722
2002/7/20 13:00,0.324
