cso15,cso18,CSOspills,Riverflow,Time
0,1.3845,1.3845,1.928959,2003/1/1 23:00
0,0.3,0.3,1.34956,2003/1/8 9:15
2.7834,6.732,9.5154,2.941324,2003/1/8 22:15
21.6945,7.9914,29.6859,2.9391,2003/1/8 23:15
207.95565,123.8763,331.83195,1.499941,2003/1/15 15:30
61.20255,1.5996,62.80215,1.912474,2003/1/15 16:30
0,1.39695,1.39695,2.386236,2003/1/17 4:45
20.5683,9.36735,29.93565,2.912438,2003/1/17 5:45
42.8232,43.0902,85.9134,1.440232,2003/1/22 9:45
170.38275,147.60315,317.9859,1.581158,2003/1/22 10:45
185.65065,137.07705,322.7277,1.847474,2003/1/22 11:45
66.9897,49.53435,116.52405,2.1195,2003/1/22 12:45
0,14.66805,14.66805,2.354526,2003/1/22 13:45
0,0.5676,0.5676,1.103128,2003/2/1 22:15
2.89425,8.60265,11.4969,0.481337,2003/3/1 20:45
64.58205,63.03285,127.6149,0.498207,2003/3/1 21:45
0,0.3,0.3,0.536902,2003/3/10 17:00
18.5772,15.5544,34.1316,0.595868,2003/3/11 11:00
0,1.5939,1.5939,0.14972,2003/4/28 7:15
172.6698,118.04535,290.71515,0.70893,2003/4/30 12:00
60.3648,1.66305,62.02785,0.699119,2003/4/30 13:00
0,1.173,1.173,1.382746,2003/4/30 19:00
37.2363,7.6845,44.9208,1.44955,2003/4/30 20:00
21.08565,22.69035,43.776,1.269887,2003/5/1 7:00
472.8816,238.2303,711.1119,1.315968,2003/5/1 8:00
116.89695,117.85575,234.7527,1.781969,2003/5/1 9:00
207.9171,108.5868,316.5039,2.403453,2003/5/1 10:00
0.3093,9.67965,9.98895,0.831836,2003/5/3 17:30
0,0.15165,0.15165,0.874045,2003/5/3 18:30
0,1.7184,1.7184,0.506326,2003/5/19 19:00
515.65665,328.69605,844.3527,0.672,2003/5/19 20:00
2.32575,0.17205,2.4978,0.504825,2003/5/19 21:00
62.23665,27.294,89.53065,0.345199,2003/5/30 16:00
13.17675,0,13.17675,0.332173,2003/5/30 17:00
0,1.0551,1.0551,0.243279,2003/6/22 5:15
0,0.6,0.6,0.216862,2003/7/1 12:15
0,0.15,0.15,0.236269,2003/7/1 13:15
0,0.15,0.15,0.287511,2003/7/1 14:15
55.8231,12.9258,68.7489,0.17354,2003/7/21 16:15
0,0.62565,0.62565,0.202196,2003/7/25 5:00
15.0333,2.54115,17.57445,0.207656,2003/7/25 6:00
0,0.6,0.6,0.321161,2003/7/29 22:15
33.6789,25.0731,58.752,0.326593,2003/7/29 23:15
